"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in weight"	"kselim"	"weight"	"weightfisher"
"337"	"GO:0055123"	"digestive system development"	405	26	19.87	337	"0.04123"	"0.14279"	"0.00633"
"338"	"GO:0007154"	"cell communication"	4079	214	200.13	338	"0.89500"	"0.14319"	"1.00000"
"339"	"GO:0021549"	"cerebellum development"	125	9	6.13	339	"0.14331"	"0.14331"	"0.16020"
"340"	"GO:0006885"	"regulation of pH"	121	8	5.94	340	"0.05339"	"0.14463"	"1.00000"
"343"	"GO:0002011"	"morphogenesis of an epithelial sheet"	114	11	5.59	343	"0.14550"	"0.14550"	"0.02389"
"344"	"GO:0030307"	"positive regulation of cell growth"	282	15	13.84	344	"0.14620"	"0.14620"	"0.41134"
"345"	"GO:0030072"	"peptide hormone secretion"	298	28	14.62	345	"0.02858"	"0.14640"	"0.01726"
"347"	"GO:0008654"	"phospholipid biosynthetic process"	203	13	9.96	347	"0.04530"	"0.14772"	"0.86434"
"349"	"GO:0043547"	"positive regulation of GTPase activity"	270	14	13.25	349	"0.14783"	"0.14783"	"0.45512"
"350"	"GO:0070252"	"actin-mediated cell contraction"	137	11	6.72	350	"0.14789"	"0.14789"	"0.07324"
"351"	"GO:0071407"	"cellular response to organic cyclic comp..."	527	26	25.86	351	"0.46353"	"0.14792"	"0.76313"
"352"	"GO:0033036"	"macromolecule localization"	3127	156	153.42	352	"0.58423"	"0.14836"	"1.00000"
"353"	"GO:0052547"	"regulation of peptidase activity"	351	26	17.22	353	"0.21545"	"0.14860"	"1.00000"
"355"	"GO:0060349"	"bone morphogenesis"	151	8	7.41	355	"0.77066"	"0.14887"	"0.90559"
"356"	"GO:0072358"	"cardiovascular system development"	676	40	33.17	356	"0.17248"	"0.14899"	"0.11828"
"357"	"GO:0035303"	"regulation of dephosphorylation"	156	9	7.65	357	"0.14923"	"0.14923"	"0.35752"
"359"	"GO:0031349"	"positive regulation of defense response"	308	21	15.11	359	"0.06410"	"0.14926"	"0.13706"
"360"	"GO:0046474"	"glycerophospholipid biosynthetic process"	163	12	8	360	"0.15003"	"0.15003"	"0.10426"
"361"	"GO:0021915"	"neural tube development"	284	15	13.93	361	"0.71250"	"0.15072"	"0.84384"
"362"	"GO:0007442"	"hindgut morphogenesis"	111	12	5.45	362	"0.15077"	"0.15077"	"0.00805"
"364"	"GO:0050796"	"regulation of insulin secretion"	197	16	9.67	364	"0.15104"	"0.15104"	"0.03262"
"365"	"GO:0002694"	"regulation of leukocyte activation"	340	22	16.68	365	"0.07172"	"0.15109"	"1.00000"
"366"	"GO:2001252"	"positive regulation of chromosome organi..."	274	14	13.44	366	"0.56708"	"0.15122"	"0.16744"
"367"	"GO:0008361"	"regulation of cell size"	414	25	20.31	367	"0.30689"	"0.15130"	"0.30351"
"370"	"GO:0031623"	"receptor internalization"	129	7	6.33	370	"0.15371"	"0.15371"	"0.44806"
"371"	"GO:0006022"	"aminoglycan metabolic process"	144	9	7.07	371	"0.15375"	"0.15375"	"0.27520"
"372"	"GO:0048839"	"inner ear development"	322	18	15.8	372	"0.04478"	"0.15377"	"0.61485"
"373"	"GO:0043524"	"negative regulation of neuron apoptotic ..."	231	18	11.33	373	"0.15388"	"0.15388"	"0.03492"
"377"	"GO:0044282"	"small molecule catabolic process"	370	19	18.15	377	"0.12515"	"0.15600"	"0.23147"
"378"	"GO:0046496"	"nicotinamide nucleotide metabolic proces..."	182	12	8.93	378	"0.16043"	"0.15651"	"0.09679"
"380"	"GO:0051453"	"regulation of intracellular pH"	105	6	5.15	380	"0.15667"	"0.15667"	"0.41139"
"382"	"GO:0002699"	"positive regulation of immune effector p..."	183	12	8.98	382	"0.15839"	"0.15839"	"0.18785"
"383"	"GO:0051716"	"cellular response to stimulus"	4530	236	222.26	383	"0.89449"	"0.15964"	"1.00000"
"384"	"GO:0030641"	"regulation of cellular pH"	112	8	5.5	384	"0.09825"	"0.16014"	"0.04265"
"385"	"GO:0044283"	"small molecule biosynthetic process"	642	47	31.5	385	"0.46222"	"0.16111"	"0.03938"
"387"	"GO:0071704"	"organic substance metabolic process"	6542	328	320.98	387	"0.99756"	"0.16134"	"0.04645"
"388"	"GO:0018996"	"molting cycle, collagen and cuticulin-ba..."	302	15	14.82	388	"0.16169"	"0.16169"	"0.51907"
"390"	"GO:0001838"	"embryonic epithelial tube formation"	215	14	10.55	390	"0.36730"	"0.16208"	"0.45017"
"391"	"GO:0030522"	"intracellular receptor signaling pathway"	260	15	12.76	391	"0.64268"	"0.16225"	"0.08419"
"392"	"GO:0043542"	"endothelial cell migration"	199	13	9.76	392	"0.30081"	"0.16251"	"0.49880"
"393"	"GO:0019637"	"organophosphate metabolic process"	1062	60	52.11	393	"0.00942"	"0.16314"	"1.00000"
"396"	"GO:0016052"	"carbohydrate catabolic process"	208	11	10.21	396	"0.09944"	"0.16433"	"0.42025"
"397"	"GO:2000147"	"positive regulation of cell motility"	413	24	20.26	397	"0.78944"	"0.16586"	"0.55007"
"399"	"GO:0043068"	"positive regulation of programmed cell d..."	753	44	36.95	399	"0.66439"	"0.16614"	"0.66884"
"401"	"GO:0071214"	"cellular response to abiotic stimulus"	446	31	21.88	401	"0.04393"	"0.16685"	"0.02083"
"402"	"GO:0060425"	"lung morphogenesis"	120	10	5.89	402	"0.16870"	"0.16870"	"0.06998"
"405"	"GO:0071326"	"cellular response to monosaccharide stim..."	155	13	7.6	405	"0.40583"	"0.17094"	"1.00000"
"406"	"GO:0009124"	"nucleoside monophosphate biosynthetic pr..."	105	7	5.15	406	"0.26643"	"0.17213"	"0.22193"
"407"	"GO:0043010"	"camera-type eye development"	388	25	19.04	407	"0.08987"	"0.17233"	"0.22680"
"408"	"GO:0044281"	"small molecule metabolic process"	2150	136	105.49	408	"0.34623"	"0.17268"	"0.28908"
"411"	"GO:0051262"	"protein tetramerization"	190	12	9.32	411	"0.17445"	"0.17445"	"0.22291"
"413"	"GO:0050673"	"epithelial cell proliferation"	453	27	22.23	413	"0.40342"	"0.17598"	"0.25397"
"417"	"GO:0071383"	"cellular response to steroid hormone sti..."	237	14	11.63	417	"0.56417"	"0.17670"	"0.03489"
"421"	"GO:0042446"	"hormone biosynthetic process"	118	11	5.79	421	"0.17809"	"0.17809"	"0.02989"
"422"	"GO:0033674"	"positive regulation of kinase activity"	432	23	21.2	422	"0.42015"	"0.17810"	"0.34794"
"424"	"GO:0006631"	"fatty acid metabolic process"	399	33	19.58	424	"0.00087"	"0.17964"	"0.05944"
"425"	"GO:0048562"	"embryonic organ morphogenesis"	472	25	23.16	425	"0.18664"	"0.18000"	"0.70718"
"427"	"GO:0001754"	"eye photoreceptor cell differentiation"	446	22	21.88	427	"0.60139"	"0.18067"	"0.53024"
"428"	"GO:0052652"	"cyclic purine nucleotide metabolic proce..."	139	7	6.82	428	"0.71785"	"0.18070"	"0.72978"
"429"	"GO:0006468"	"protein phosphorylation"	1471	80	72.17	429	"0.26369"	"0.18072"	"0.51177"
"434"	"GO:0015718"	"monocarboxylic acid transport"	163	18	8	434	"0.18273"	"0.18273"	"0.00103"
"436"	"GO:1905954"	"positive regulation of lipid localizatio..."	120	12	5.89	436	"0.18421"	"0.18421"	"0.01451"
"437"	"GO:0046434"	"organophosphate catabolic process"	119	10	5.84	437	"0.18443"	"0.18443"	"0.06692"
"438"	"GO:0042060"	"wound healing"	509	27	24.97	438	"0.37140"	"0.18456"	"0.11013"
"439"	"GO:0002790"	"peptide secretion"	619	44	30.37	439	"0.12454"	"0.18554"	"1.00000"
"440"	"GO:0044085"	"cellular component biogenesis"	3393	169	166.47	440	"0.75155"	"0.18647"	"1.00000"
"441"	"GO:0051174"	"regulation of phosphorus metabolic proce..."	1513	85	74.23	441	"0.18778"	"0.18671"	"1.00000"
"442"	"GO:0035967"	"cellular response to topologically incor..."	190	11	9.32	442	"0.22612"	"0.18719"	"0.50078"
"443"	"GO:0048585"	"negative regulation of response to stimu..."	1564	79	76.74	443	"0.07462"	"0.18760"	"0.98402"
"444"	"GO:0048149"	"behavioral response to ethanol"	145	9	7.11	444	"0.18813"	"0.18813"	"0.28186"
"446"	"GO:0032368"	"regulation of lipid transport"	130	11	6.38	446	"0.18836"	"0.18836"	"0.05421"
"449"	"GO:0002703"	"regulation of leukocyte mediated immunit..."	132	8	6.48	449	"0.19055"	"0.19055"	"0.32117"
"450"	"GO:0060079"	"excitatory postsynaptic potential"	126	10	6.18	450	"0.19158"	"0.19158"	"0.09018"
"453"	"GO:0043901"	"negative regulation of multi-organism pr..."	205	14	10.06	453	"0.19319"	"0.19319"	"0.13169"
"454"	"GO:0032387"	"negative regulation of intracellular tra..."	218	13	10.7	454	"0.04546"	"0.19638"	"0.17566"
"455"	"GO:0006874"	"cellular calcium ion homeostasis"	342	18	16.78	455	"0.35113"	"0.19731"	"0.71187"
"457"	"GO:0010259"	"multicellular organism aging"	1090	62	53.48	457	"0.02833"	"0.19842"	"0.01674"
"459"	"GO:0090100"	"positive regulation of transmembrane rec..."	150	9	7.36	459	"0.19882"	"0.19882"	"0.31578"
"460"	"GO:0015837"	"amine transport"	145	13	7.11	460	"0.18828"	"0.19908"	"0.57016"
"463"	"GO:0046579"	"positive regulation of Ras protein signa..."	128	8	6.28	463	"0.20036"	"0.20036"	"0.29193"
"464"	"GO:0022404"	"molting cycle process"	317	24	15.55	464	"0.01606"	"0.20090"	"0.20017"
"465"	"GO:0055002"	"striated muscle cell development"	421	23	20.66	465	"0.62156"	"0.20183"	"0.13067"
"466"	"GO:0021536"	"diencephalon development"	134	10	6.57	466	"0.20209"	"0.20209"	"0.12203"
"468"	"GO:0071702"	"organic substance transport"	2568	147	126	468	"0.67205"	"0.20311"	"0.25286"
"469"	"GO:2001236"	"regulation of extrinsic apoptotic signal..."	166	12	8.14	469	"0.20320"	"0.20320"	"0.11508"
"470"	"GO:0043244"	"regulation of protein complex disassembl..."	144	8	7.07	470	"0.20368"	"0.20368"	"0.41123"
"471"	"GO:0035556"	"intracellular signal transduction"	2040	107	100.09	471	"0.67456"	"0.20498"	"0.29638"
"472"	"GO:0048017"	"inositol lipid-mediated signaling"	138	9	6.77	472	"0.56872"	"0.20542"	"1.00000"
"475"	"GO:0097193"	"intrinsic apoptotic signaling pathway"	338	18	16.58	475	"0.33205"	"0.20674"	"0.69028"
"476"	"GO:0006813"	"potassium ion transport"	193	12	9.47	476	"0.22768"	"0.20694"	"0.75366"
"477"	"GO:0007369"	"gastrulation"	347	21	17.03	477	"0.28806"	"0.20700"	"0.89164"
"480"	"GO:0060173"	"limb development"	268	16	13.15	480	"0.05275"	"0.20906"	"1.00000"
"481"	"GO:0043154"	"negative regulation of cysteine-type end..."	105	7	5.15	481	"0.21030"	"0.21030"	"0.25622"
"482"	"GO:0048732"	"gland development"	826	45	40.53	482	"0.79759"	"0.21076"	"0.09658"
"483"	"GO:0060840"	"artery development"	140	9	6.87	483	"0.14906"	"0.21084"	"0.81775"
"485"	"GO:0007605"	"sensory perception of sound"	360	30	17.66	485	"0.21130"	"0.21130"	"0.00304"
"486"	"GO:0019216"	"regulation of lipid metabolic process"	401	26	19.67	486	"0.02743"	"0.21140"	"1.00000"
"487"	"GO:1900544"	"positive regulation of purine nucleotide..."	135	10	6.62	487	"0.21180"	"0.21180"	"0.12640"
"489"	"GO:0071331"	"cellular response to hexose stimulus"	154	13	7.56	489	"0.48852"	"0.21236"	"0.18047"
"492"	"GO:2001257"	"regulation of cation channel activity"	170	13	8.34	492	"0.21366"	"0.21366"	"0.07447"
"493"	"GO:0046467"	"membrane lipid biosynthetic process"	113	9	5.54	493	"0.21422"	"0.21422"	"0.10269"
"494"	"GO:0044092"	"negative regulation of molecular functio..."	992	55	48.67	494	"0.71703"	"0.21433"	"0.21955"
"495"	"GO:0001818"	"negative regulation of cytokine producti..."	191	10	9.37	495	"0.21450"	"0.21450"	"0.46305"
"496"	"GO:0030323"	"respiratory tube development"	294	15	14.42	496	"0.01624"	"0.21471"	"0.26069"
"498"	"GO:0090132"	"epithelium migration"	515	28	25.27	498	"0.12292"	"0.21621"	"1.00000"
"500"	"GO:0046165"	"alcohol biosynthetic process"	174	11	8.54	500	"0.21730"	"0.21730"	"0.23489"
"501"	"GO:0050707"	"regulation of cytokine secretion"	105	6	5.15	501	"0.21817"	"0.21817"	"0.41139"
"502"	"GO:0031214"	"biomineral tissue development"	131	11	6.43	502	"0.32116"	"0.21831"	"0.25401"
"503"	"GO:0007424"	"open tracheal system development"	470	26	23.06	503	"0.27670"	"0.21870"	"0.16507"
"504"	"GO:0031644"	"regulation of neurological system proces..."	108	7	5.3	504	"0.21881"	"0.21881"	"0.27919"
"505"	"GO:0008593"	"regulation of Notch signaling pathway"	296	19	14.52	505	"0.16379"	"0.21898"	"0.07171"
"507"	"GO:1903036"	"positive regulation of response to wound..."	115	7	5.64	507	"0.21964"	"0.21964"	"0.33454"
"509"	"GO:0016310"	"phosphorylation"	1782	96	87.43	509	"0.17491"	"0.22148"	"0.37736"
"510"	"GO:0019751"	"polyol metabolic process"	118	9	5.79	510	"0.22177"	"0.22177"	"0.12500"
"514"	"GO:0045765"	"regulation of angiogenesis"	208	11	10.21	514	"0.41110"	"0.22292"	"0.45146"
"516"	"GO:0035151"	"regulation of tube size, open tracheal s..."	118	9	5.79	516	"0.22322"	"0.22322"	"0.12500"
"517"	"GO:0046888"	"negative regulation of hormone secretion"	107	10	5.25	517	"0.22347"	"0.22347"	"0.03680"
"518"	"GO:0000187"	"activation of MAPK activity"	117	7	5.74	518	"0.22348"	"0.22348"	"0.35066"
"520"	"GO:0050865"	"regulation of cell activation"	383	24	18.79	520	"0.08715"	"0.22428"	"1.00000"
"522"	"GO:0055088"	"lipid homeostasis"	226	21	11.09	522	"0.01501"	"0.22506"	"0.01196"
"524"	"GO:0030239"	"myofibril assembly"	272	14	13.35	524	"0.69583"	"0.22582"	"0.02830"
"525"	"GO:0010942"	"positive regulation of cell death"	835	46	40.97	525	"0.60957"	"0.22619"	"0.94367"
"526"	"GO:0042592"	"homeostatic process"	1911	108	93.76	526	"0.25736"	"0.22650"	"0.28678"
"527"	"GO:0090288"	"negative regulation of cellular response..."	176	10	8.64	527	"0.22723"	"0.22723"	"0.36285"
"528"	"GO:0097722"	"sperm motility"	147	10	7.21	528	"0.66408"	"0.22728"	"1.00000"
"529"	"GO:1903320"	"regulation of protein modification by sm..."	330	19	16.19	529	"0.70764"	"0.22762"	"1.00000"
"530"	"GO:0022407"	"regulation of cell-cell adhesion"	374	21	18.35	530	"0.19014"	"0.22773"	"1.00000"
"532"	"GO:0008610"	"lipid biosynthetic process"	632	49	31.01	532	"0.02998"	"0.22826"	"0.77449"
"533"	"GO:0002218"	"activation of innate immune response"	161	11	7.9	533	"0.14561"	"0.22860"	"0.08273"
"534"	"GO:0008203"	"cholesterol metabolic process"	140	9	6.87	534	"0.22983"	"0.22983"	"0.24905"
"535"	"GO:0006955"	"immune response"	1058	59	51.91	535	"0.17367"	"0.22996"	"0.53461"
"536"	"GO:0044782"	"cilium organization"	367	20	18.01	536	"0.90113"	"0.23001"	"0.33053"
"537"	"GO:0098542"	"defense response to other organism"	638	36	31.3	537	"0.49867"	"0.23002"	"1.00000"
"539"	"GO:0001570"	"vasculogenesis"	117	7	5.74	539	"0.23020"	"0.23020"	"0.35066"
"540"	"GO:0051384"	"response to glucocorticoid"	104	11	5.1	540	"0.23080"	"0.23080"	"0.01277"
"542"	"GO:0043280"	"positive regulation of cysteine-type end..."	148	12	7.26	542	"0.23205"	"0.23205"	"0.05960"
"543"	"GO:0006970"	"response to osmotic stress"	155	8	7.6	543	"0.23213"	"0.23213"	"0.49361"
"546"	"GO:0051240"	"positive regulation of multicellular org..."	1938	108	95.09	546	"0.09730"	"0.23365"	"0.38452"
"548"	"GO:0007593"	"chitin-based cuticle sclerotization"	104	12	5.1	548	"0.23448"	"0.23448"	"0.00480"
"549"	"GO:0014855"	"striated muscle cell proliferation"	113	7	5.54	549	"0.01578"	"0.23459"	"0.13114"
"550"	"GO:0048871"	"multicellular organismal homeostasis"	471	27	23.11	550	"0.57909"	"0.23480"	"0.05552"
"552"	"GO:0022409"	"positive regulation of cell-cell adhesio..."	191	16	9.37	552	"0.05503"	"0.23679"	"0.11880"
"554"	"GO:0031333"	"negative regulation of protein complex a..."	138	7	6.77	554	"0.23792"	"0.23792"	"0.51948"
"555"	"GO:0055013"	"cardiac muscle cell development"	107	8	5.25	555	"0.23905"	"0.23905"	"0.15438"
"556"	"GO:0051260"	"protein homooligomerization"	314	21	15.41	556	"0.23906"	"0.23906"	"0.09172"
"557"	"GO:0003151"	"outflow tract morphogenesis"	137	13	6.72	557	"0.23908"	"0.23908"	"0.01684"
"558"	"GO:0016311"	"dephosphorylation"	341	19	16.73	558	"0.20051"	"0.23959"	"0.33778"
"559"	"GO:0061525"	"hindgut development"	112	12	5.5	559	"0.15888"	"0.23964"	"1.00000"
"560"	"GO:0070585"	"protein localization to mitochondrion"	229	12	11.24	560	"0.38357"	"0.24038"	"1.00000"
"561"	"GO:0003300"	"cardiac muscle hypertrophy"	113	6	5.54	561	"0.24085"	"0.24085"	"0.48153"
"562"	"GO:0043583"	"ear development"	375	20	18.4	562	"0.27674"	"0.24125"	"0.45241"
"565"	"GO:0050790"	"regulation of catalytic activity"	1669	98	81.89	565	"0.12732"	"0.24331"	"0.13397"
"568"	"GO:0009152"	"purine ribonucleotide biosynthetic proce..."	242	12	11.87	568	"0.30671"	"0.24567"	"0.61114"
"571"	"GO:0002764"	"immune response-regulating signaling pat..."	256	13	12.56	571	"0.30641"	"0.24814"	"1.00000"
"572"	"GO:0055082"	"cellular chemical homeostasis"	729	40	35.77	572	"0.57184"	"0.24826"	"0.25410"
"573"	"GO:0046425"	"regulation of JAK-STAT cascade"	174	12	8.54	573	"0.24856"	"0.24856"	"0.14698"
"574"	"GO:0001508"	"action potential"	161	15	7.9	574	"0.24991"	"0.24991"	"0.01254"
"575"	"GO:0071772"	"response to BMP"	247	18	12.12	575	"0.04355"	"0.25031"	"1.00000"
"576"	"GO:0032092"	"positive regulation of protein binding"	132	10	6.48	576	"0.25109"	"0.25109"	"0.11355"
"577"	"GO:0046031"	"ADP metabolic process"	119	7	5.84	577	"0.16616"	"0.25117"	"0.18372"
"579"	"GO:0006936"	"muscle contraction"	350	21	17.17	579	"0.21353"	"0.25326"	"0.29128"
"581"	"GO:0010647"	"positive regulation of cell communicatio..."	1673	92	82.08	581	"0.25864"	"0.25412"	"0.19604"
"582"	"GO:0071417"	"cellular response to organonitrogen comp..."	523	26	25.66	582	"0.21695"	"0.25431"	"0.50907"
"583"	"GO:0031102"	"neuron projection regeneration"	109	7	5.35	583	"0.64276"	"0.25656"	"1.00000"
"585"	"GO:0043623"	"cellular protein complex assembly"	777	39	38.12	585	"0.95013"	"0.25735"	"0.03566"
"588"	"GO:0034766"	"negative regulation of ion transmembrane..."	112	10	5.5	588	"0.25995"	"0.25995"	"0.04790"
"590"	"GO:0002682"	"regulation of immune system process"	1064	58	52.2	590	"0.35577"	"0.26091"	"0.11918"
"591"	"GO:0009306"	"protein secretion"	569	39	27.92	591	"0.28313"	"0.26294"	"0.87380"
"592"	"GO:0044403"	"symbiosis, encompassing mutualism throug..."	429	26	21.05	592	"0.33054"	"0.26353"	"0.06232"
"594"	"GO:0043434"	"response to peptide hormone"	378	20	18.55	594	"0.43171"	"0.26556"	"0.25668"
"595"	"GO:0009954"	"proximal/distal pattern formation"	103	7	5.05	595	"0.26565"	"0.26565"	"0.24122"
"596"	"GO:0072655"	"establishment of protein localization to..."	225	12	11.04	596	"0.35669"	"0.26636"	"1.00000"
"597"	"GO:1903169"	"regulation of calcium ion transmembrane ..."	139	8	6.82	597	"0.26649"	"0.26649"	"0.37347"
"598"	"GO:0032414"	"positive regulation of ion transmembrane..."	127	7	6.23	598	"0.26653"	"0.26653"	"0.43189"
"599"	"GO:0001932"	"regulation of protein phosphorylation"	1222	72	59.96	599	"0.19019"	"0.26697"	"0.04254"
"601"	"GO:0043279"	"response to alkaloid"	170	15	8.34	601	"0.26875"	"0.26875"	"0.01975"
"604"	"GO:0001568"	"blood vessel development"	632	37	31.01	604	"0.17011"	"0.26892"	"0.62488"
"605"	"GO:0034612"	"response to tumor necrosis factor"	107	6	5.25	605	"0.26917"	"0.26917"	"0.42908"
"606"	"GO:0001525"	"angiogenesis"	423	27	20.75	606	"0.40571"	"0.27023"	"0.06225"
"607"	"GO:0045861"	"negative regulation of proteolysis"	268	15	13.15	607	"0.13835"	"0.27041"	"0.62857"
"610"	"GO:0046939"	"nucleotide phosphorylation"	124	8	6.08	610	"0.19302"	"0.27135"	"0.04276"
"611"	"GO:0033500"	"carbohydrate homeostasis"	298	21	14.62	611	"0.22833"	"0.27171"	"1.00000"
"612"	"GO:0033555"	"multicellular organismal response to str..."	158	14	7.75	612	"0.27176"	"0.27176"	"0.02307"
"613"	"GO:0050714"	"positive regulation of protein secretion"	231	21	11.33	613	"0.27281"	"0.27281"	"0.00465"
"614"	"GO:0050688"	"regulation of defense response to virus"	103	9	5.05	614	"0.27317"	"0.27317"	"0.06553"
"615"	"GO:0044106"	"cellular amine metabolic process"	102	8	5	615	"0.27418"	"0.27418"	"0.12731"
"618"	"GO:0048593"	"camera-type eye morphogenesis"	191	12	9.37	618	"0.27440"	"0.27440"	"0.22812"
"623"	"GO:0071478"	"cellular response to radiation"	289	17	14.18	623	"0.05742"	"0.27864"	"0.03491"
"624"	"GO:0016048"	"detection of temperature stimulus"	145	8	7.11	624	"0.23193"	"0.27912"	"0.52958"
"629"	"GO:0008015"	"blood circulation"	481	26	23.6	629	"0.10708"	"0.28105"	"0.51529"
"636"	"GO:0032940"	"secretion by cell"	1109	70	54.41	636	"0.07001"	"0.28333"	"0.30770"
"637"	"GO:0043062"	"extracellular structure organization"	316	22	15.5	637	"0.29342"	"0.28349"	"0.02057"
"638"	"GO:0051051"	"negative regulation of transport"	643	39	31.55	638	"0.09734"	"0.28374"	"0.22054"
"640"	"GO:0031396"	"regulation of protein ubiquitination"	301	19	14.77	640	"0.47841"	"0.28442"	"0.26844"
"642"	"GO:0051094"	"positive regulation of developmental pro..."	1830	94	89.79	642	"0.09314"	"0.28505"	"0.49702"
"644"	"GO:0007585"	"respiratory gaseous exchange"	106	8	5.2	644	"0.28674"	"0.28674"	"0.14875"
"645"	"GO:0001819"	"positive regulation of cytokine producti..."	228	19	11.19	645	"0.28678"	"0.28678"	"0.01657"
"646"	"GO:0055067"	"monovalent inorganic cation homeostasis"	174	12	8.54	646	"0.11244"	"0.28747"	"0.21671"
"648"	"GO:0033673"	"negative regulation of kinase activity"	281	19	13.79	648	"0.25062"	"0.28773"	"0.78575"
"652"	"GO:0048332"	"mesoderm morphogenesis"	140	13	6.87	652	"0.15492"	"0.28964"	"1.00000"
"653"	"GO:0031397"	"negative regulation of protein ubiquitin..."	110	7	5.4	653	"0.28969"	"0.28969"	"0.29479"
"654"	"GO:0030968"	"endoplasmic reticulum unfolded protein r..."	145	8	7.11	654	"0.29021"	"0.29021"	"0.41879"
"655"	"GO:0044070"	"regulation of anion transport"	135	11	6.62	655	"0.29046"	"0.29046"	"0.06742"
"657"	"GO:0055017"	"cardiac muscle tissue growth"	132	7	6.48	657	"0.01257"	"0.29164"	"0.47022"
"659"	"GO:0060993"	"kidney morphogenesis"	138	7	6.77	659	"0.23853"	"0.29213"	"0.39570"
"662"	"GO:0048863"	"stem cell differentiation"	391	20	19.18	662	"0.07017"	"0.29244"	"0.53910"
"663"	"GO:0060326"	"cell chemotaxis"	178	12	8.73	663	"0.29244"	"0.29244"	"0.16452"
"667"	"GO:0060560"	"developmental growth involved in morphog..."	538	31	26.4	667	"0.55219"	"0.29352"	"0.01676"
"668"	"GO:0010951"	"negative regulation of endopeptidase act..."	139	9	6.82	668	"0.19233"	"0.29441"	"0.46818"
"669"	"GO:0007584"	"response to nutrient"	148	8	7.26	669	"0.29488"	"0.29488"	"0.44141"
"670"	"GO:0042633"	"hair cycle"	186	10	9.13	670	"0.07396"	"0.29539"	"0.47986"
"672"	"GO:0051924"	"regulation of calcium ion transport"	219	11	10.74	672	"0.60233"	"0.29600"	"0.70013"
"673"	"GO:0006164"	"purine nucleotide biosynthetic process"	247	13	12.12	673	"0.25400"	"0.29613"	"0.22239"
"677"	"GO:0006796"	"phosphate-containing compound metabolic ..."	2433	133	119.37	677	"0.03436"	"0.29728"	"0.31307"
"680"	"GO:0042180"	"cellular ketone metabolic process"	265	19	13	680	"0.03391"	"0.30013"	"0.61984"
"681"	"GO:0032970"	"regulation of actin filament-based proce..."	402	20	19.72	681	"0.17453"	"0.30038"	"0.28507"
"682"	"GO:0009156"	"ribonucleoside monophosphate biosyntheti..."	100	6	4.91	682	"0.30153"	"0.30153"	"0.36701"
"683"	"GO:0043269"	"regulation of ion transport"	605	35	29.68	683	"0.53505"	"0.30177"	"0.50141"
"684"	"GO:0051259"	"protein oligomerization"	623	38	30.57	684	"0.46261"	"0.30180"	"0.24961"
"685"	"GO:0045667"	"regulation of osteoblast differentiation"	153	12	7.51	685	"0.30198"	"0.30198"	"0.07274"
"690"	"GO:0019221"	"cytokine-mediated signaling pathway"	188	10	9.22	690	"0.30474"	"0.30474"	"0.44305"
"692"	"GO:0048844"	"artery morphogenesis"	106	8	5.2	692	"0.30589"	"0.30589"	"0.14875"
"693"	"GO:0009605"	"response to external stimulus"	2636	144	129.33	693	"0.16360"	"0.30597"	"0.93114"
"695"	"GO:1901861"	"regulation of muscle tissue development"	220	17	10.79	695	"0.11585"	"0.30722"	"1.00000"
"698"	"GO:0019218"	"regulation of steroid metabolic process"	153	12	7.51	698	"0.02898"	"0.30783"	"0.43223"
"699"	"GO:0003281"	"ventricular septum development"	110	8	5.4	699	"0.30804"	"0.30804"	"0.17183"
"700"	"GO:0035296"	"regulation of tube diameter"	130	9	6.38	700	"0.41052"	"0.30835"	"0.72771"
"701"	"GO:0030534"	"adult behavior"	513	26	25.17	701	"0.23628"	"0.30839"	"0.20036"
"703"	"GO:0008652"	"cellular amino acid biosynthetic process"	108	6	5.3	703	"0.30887"	"0.30887"	"0.43790"
"704"	"GO:0007519"	"skeletal muscle tissue development"	294	25	14.42	704	"0.17597"	"0.30919"	"0.06684"
"705"	"GO:0051952"	"regulation of amine transport"	128	12	6.28	705	"0.30950"	"0.30950"	"0.02304"
"707"	"GO:1902652"	"secondary alcohol metabolic process"	185	10	9.08	707	"0.22655"	"0.31025"	"0.89546"
"708"	"GO:0031667"	"response to nutrient levels"	632	41	31.01	708	"0.08123"	"0.31118"	"0.59473"
"709"	"GO:0071322"	"cellular response to carbohydrate stimul..."	182	15	8.93	709	"0.23486"	"0.31132"	"0.37883"
"710"	"GO:0048663"	"neuron fate commitment"	284	15	13.93	710	"0.50483"	"0.31184"	"0.27059"
"711"	"GO:0031348"	"negative regulation of defense response"	229	13	11.24	711	"0.61368"	"0.31221"	"0.66716"
"712"	"GO:0030155"	"regulation of cell adhesion"	620	32	30.42	712	"0.29873"	"0.31239"	"0.27154"
"714"	"GO:0046649"	"lymphocyte activation"	478	27	23.45	714	"0.55125"	"0.31480"	"1.00000"
"715"	"GO:0002274"	"myeloid leukocyte activation"	142	11	6.97	715	"0.31670"	"0.31670"	"0.08915"
"716"	"GO:0009581"	"detection of external stimulus"	377	22	18.5	716	"0.44556"	"0.31700"	"0.18131"
"717"	"GO:0043523"	"regulation of neuron apoptotic process"	348	24	17.07	717	"0.45971"	"0.31782"	"0.10787"
"718"	"GO:0003143"	"embryonic heart tube morphogenesis"	123	8	6.03	718	"0.44309"	"0.31798"	"1.00000"
"720"	"GO:0009967"	"positive regulation of signal transducti..."	1457	73	71.49	720	"0.49600"	"0.31920"	"0.83414"
